,Date,Open,High,Low,Close,Volume,Volume(BCC)
38,13-04-2021,1.76,1.8,1.46,1.48,28.82,18.03
39,12-04-2021,1.86,1.86,1.76,1.76,7.63,4.3
40,11-04-2021,1.48,1.85,1.47,1.85,41.78,26.01
41,10-04-2021,1.24,1.55,1.24,1.47,23.97,16.29
42,09-04-2021,1.24,1.26,1.24,1.24,0.0,0.0
43,08-04-2021,1.6,1.67,1.23,1.24,51.08,33.79
44,07-04-2021,1.66,1.67,1.59,1.61,0.0,0.0
45,06-04-2021,1.69,1.74,1.65,1.66,14.37,8.43
46,05-04-2021,1.66,1.73,1.63,1.68,0.0,0.0
47,04-04-2021,1.57,1.73,1.56,1.66,86.7,52.69
48,03-04-2021,1.55,1.64,1.51,1.58,0.0,0.0
49,02-04-2021,1.59,1.62,1.52,1.55,6.72,4.33
50,01-04-2021,1.59,1.6,1.57,1.59,0.0,0.0
51,31-03-2021,1.76,1.77,1.55,1.59,63.41,38.92
52,30-03-2021,1.72,1.78,1.71,1.76,0.0,0.0
53,29-03-2021,1.67,1.75,1.65,1.73,0.0,0.0
54,28-03-2021,1.67,1.69,1.64,1.67,0.0,0.0
55,27-03-2021,1.65,1.69,1.62,1.67,5.07,3.06
56,26-03-2021,1.54,1.65,1.54,1.65,0.0,0.0
57,25-03-2021,1.5,1.59,1.48,1.54,44.33,28.88
58,24-03-2021,1.36,1.59,1.34,1.5,5.8,4.08
59,23-03-2021,1.35,1.39,1.33,1.36,0.0,0.0
60,22-03-2021,1.43,1.45,1.35,1.36,0.0,0.0
61,21-03-2021,1.45,1.46,1.4,1.44,0.0,0.0
62,20-03-2021,1.45,1.49,1.45,1.45,0.0,0.0
63,19-03-2021,1.58,1.63,1.45,1.45,226.51,142.93
64,18-03-2021,1.67,1.67,1.58,1.59,64.77,39.73
65,17-03-2021,1.61,1.66,1.53,1.66,0.0,0.0
66,16-03-2021,1.57,1.6,1.51,1.6,0.0,0.0
67,15-03-2021,1.66,1.71,1.56,1.57,0.0,0.0
68,14-03-2021,1.72,1.74,1.67,1.67,0.0,0.0
69,13-03-2021,1.61,1.74,1.59,1.73,0.0,0.0
70,12-03-2021,1.45,1.62,1.39,1.62,25.79,17.33
71,11-03-2021,1.4,1.45,1.36,1.44,0.0,0.0
72,10-03-2021,1.37,1.43,1.33,1.4,0.0,0.0
73,09-03-2021,1.57,1.64,1.37,1.37,32.7,20.56
74,08-03-2021,1.53,1.57,1.49,1.57,0.0,0.0
75,07-03-2021,1.47,1.54,1.47,1.54,0.0,0.0
76,06-03-2021,1.34,1.47,1.3,1.47,5.13,3.85
77,05-03-2021,1.33,1.35,1.28,1.34,0.0,0.0
78,04-03-2021,1.38,1.42,1.31,1.33,5.34,3.93
79,03-03-2021,1.33,1.44,1.32,1.39,0.0,0.0
80,02-03-2021,1.36,1.38,1.3,1.33,0.0,0.0
81,01-03-2021,1.24,1.37,1.24,1.36,0.0,0.0
82,28-02-2021,0.9214679,1.26,0.8906078000000002,1.24,4.95,4.26
83,27-02-2021,0.9262974,0.9643011999999999,0.9083726999999999,0.9251808000000001,0.0,0.0
84,26-02-2021,1.41,1.43,0.906501,0.9258194,34.93,27.9
85,25-02-2021,0.9478348,1.49,0.9293058000000001,1.42,5.65,5.39
86,24-02-2021,1.82,1.85,0.9186059000000001,0.9445349000000001,107.34,89.22
87,23-02-2021,2.6,2.6,1.16,1.81,200.17,125.24
88,22-02-2021,1.78,2.62,1.55,2.6,144.62,83.96
89,21-02-2021,1.73,1.8,1.72,1.78,0.0,0.0
90,20-02-2021,1.29,1.78,1.28,1.74,36.09,23.66
91,19-02-2021,1.55,1.56,0.9713726,1.29,32.27,29.37
92,18-02-2021,1.56,1.57,1.53,1.55,0.0,0.0
93,17-02-2021,1.35,1.57,1.35,1.56,5.75,3.81
94,16-02-2021,1.2,2.0,1.19,1.35,69.07,40.27
95,15-02-2021,1.22,1.22,1.16,1.2,0.0,0.0
96,14-02-2021,1.75,1.92,1.19,1.22,1268.56,813.57
97,13-02-2021,1.07,1.76,1.06,1.74,54.37,35.29
98,12-02-2021,1.08,1.09,1.05,1.07,0.0,0.0
99,11-02-2021,1.12,1.81,1.0,1.07,388.0,314.53
100,10-02-2021,0.28122820000000004,1.13,0.2725598,1.12,152.89,266.6
101,09-02-2021,0.926517,0.9586853999999999,0.06867369999999999,0.2815063,342.57,672.06
102,08-02-2021,0.9700848,1.08,0.7406438,0.9217999,307.39,361.46
103,07-02-2021,0.9768191999999999,0.9907203000000001,0.9393017,0.9717691999999999,0.0,0.0
104,06-02-2021,1.15,1.22,0.9795514000000001,0.9821959000000001,7.56,6.4
105,05-02-2021,1.48,1.51,1.12,1.14,4.27,3.42
106,04-02-2021,1.84,1.87,1.09,1.48,15.18,11.47
107,03-02-2021,0.35476579999999996,1.84,0.3543983,1.84,260.79,286.25
108,02-02-2021,1.51,1.59,0.27673220000000004,0.3551402,1190.35,1506.75
109,01-02-2021,1.49,1.56,1.46,1.51,0.0,0.0
110,31-01-2021,1.37,1.53,1.35,1.49,8.13,5.61
111,30-01-2021,1.72,1.74,0.2561245,1.37,210.33,170.29
112,29-01-2021,0.9951446,1.91,0.9748188,1.71,16.07,10.28
113,28-01-2021,0.9074747999999999,1.0,0.8930418999999999,0.9903886000000001,0.0,0.0
114,27-01-2021,0.9744937,0.9744937,0.8763526,0.9042859000000001,3.06,3.29
115,26-01-2021,0.9158958,0.9823607,0.9158958,0.9765684000000001,0.0,0.0
116,25-01-2021,1.84,1.97,0.9144164,0.9215018,76.28,68.6
117,24-01-2021,1.82,1.88,1.77,1.84,0.0,0.0
118,23-01-2021,1.87,1.9,1.79,1.83,0.0,0.0
119,22-01-2021,1.84,2.03,1.75,1.88,3.14,1.65
120,21-01-2021,1.15,1.88,0.9642679,1.85,55.84,46.82
121,20-01-2021,1.17,1.18,1.1,1.16,0.0,0.0
122,19-01-2021,1.29,1.3,1.17,1.17,9.39,7.64
123,18-01-2021,1.27,1.29,1.25,1.28,0.0,0.0
124,17-01-2021,0.0,0.0,0.0,0.0,0.0,0.0
125,16-01-2021,0.0,0.0,0.0,0.0,0.0,0.0
126,15-01-2021,0.0,0.0,0.0,0.0,0.0,0.0
127,14-01-2021,0.0,0.0,0.0,0.0,0.0,0.0
128,13-01-2021,0.0,0.0,0.0,0.0,0.0,0.0
129,12-01-2021,0.0,0.0,0.0,0.0,0.0,0.0
130,11-01-2021,0.0,0.0,0.0,0.0,0.0,0.0
131,10-01-2021,0.0,0.0,0.0,0.0,0.0,0.0
132,09-01-2021,0.0,0.0,0.0,0.0,0.0,0.0
133,08-01-2021,0.0,0.0,0.0,0.0,0.0,0.0
134,07-01-2021,0.0,0.0,0.0,0.0,0.0,0.0
135,06-01-2021,0.0,0.0,0.0,0.0,0.0,0.0
136,05-01-2021,0.0,0.0,0.0,0.0,0.0,0.0
137,04-01-2021,0.0,0.0,0.0,0.0,0.0,0.0
138,03-01-2021,0.0,0.0,0.0,0.0,0.0,0.0
139,02-01-2021,0.0,0.0,0.0,0.0,0.0,0.0
140,01-01-2021,0.0,0.0,0.0,0.0,0.0,0.0
141,31-12-2020,0.0,0.0,0.0,0.0,0.0,0.0
142,30-12-2020,0.0,0.0,0.0,0.0,0.0,0.0
143,29-12-2020,0.0,0.0,0.0,0.0,0.0,0.0
144,28-12-2020,0.0,0.0,0.0,0.0,0.0,0.0
145,27-12-2020,0.0,0.0,0.0,0.0,0.0,0.0
146,26-12-2020,0.0,0.0,0.0,0.0,0.0,0.0
147,25-12-2020,0.0,0.0,0.0,0.0,0.0,0.0
148,24-12-2020,0.0,0.0,0.0,0.0,0.0,0.0
149,23-12-2020,0.0,0.0,0.0,0.0,0.0,0.0
150,22-12-2020,0.0,0.0,0.0,0.0,0.0,0.0
151,21-12-2020,0.0,0.0,0.0,0.0,0.0,0.0
152,20-12-2020,0.0,0.0,0.0,0.0,0.0,0.0
153,19-12-2020,0.0,0.0,0.0,0.0,0.0,0.0
154,18-12-2020,0.0,0.0,0.0,0.0,0.0,0.0
155,17-12-2020,0.0,0.0,0.0,0.0,0.0,0.0
156,16-12-2020,0.0,0.0,0.0,0.0,0.0,0.0
157,15-12-2020,0.0,0.0,0.0,0.0,0.0,0.0
158,14-12-2020,0.0,0.0,0.0,0.0,0.0,0.0
159,13-12-2020,0.0,0.0,0.0,0.0,0.0,0.0
160,12-12-2020,0.0,0.0,0.0,0.0,0.0,0.0
161,11-12-2020,0.0,0.0,0.0,0.0,0.0,0.0
162,10-12-2020,0.0,0.0,0.0,0.0,0.0,0.0
163,09-12-2020,0.0,0.0,0.0,0.0,0.0,0.0
164,08-12-2020,0.0,0.0,0.0,0.0,0.0,0.0
165,07-12-2020,0.0,0.0,0.0,0.0,0.0,0.0
166,06-12-2020,0.0,0.0,0.0,0.0,0.0,0.0
167,05-12-2020,0.0,0.0,0.0,0.0,0.0,0.0
168,04-12-2020,0.0,0.0,0.0,0.0,0.0,0.0
169,03-12-2020,0.0,0.0,0.0,0.0,0.0,0.0
170,02-12-2020,0.0,0.0,0.0,0.0,0.0,0.0
171,01-12-2020,0.0,0.0,0.0,0.0,0.0,0.0
172,30-11-2020,0.0,0.0,0.0,0.0,0.0,0.0
173,29-11-2020,0.0,0.0,0.0,0.0,0.0,0.0
174,28-11-2020,0.0,0.0,0.0,0.0,0.0,0.0
175,27-11-2020,0.0,0.0,0.0,0.0,0.0,0.0
176,26-11-2020,0.0,0.0,0.0,0.0,0.0,0.0
177,25-11-2020,0.0,0.0,0.0,0.0,0.0,0.0
178,24-11-2020,0.0,0.0,0.0,0.0,0.0,0.0
179,23-11-2020,0.0,0.0,0.0,0.0,0.0,0.0
180,22-11-2020,0.0,0.0,0.0,0.0,0.0,0.0
181,21-11-2020,0.0,0.0,0.0,0.0,0.0,0.0
182,20-11-2020,0.0,0.0,0.0,0.0,0.0,0.0
183,19-11-2020,0.0,0.0,0.0,0.0,0.0,0.0
184,18-11-2020,0.0,0.0,0.0,0.0,0.0,0.0
185,17-11-2020,0.0,0.0,0.0,0.0,0.0,0.0
186,16-11-2020,0.0,0.0,0.0,0.0,0.0,0.0
187,15-11-2020,0.0,0.0,0.0,0.0,0.0,0.0
188,14-11-2020,0.0,0.0,0.0,0.0,0.0,0.0
189,13-11-2020,0.0,0.0,0.0,0.0,0.0,0.0
190,12-11-2020,0.0,0.0,0.0,0.0,0.0,0.0
191,11-11-2020,0.0,0.0,0.0,0.0,0.0,0.0
192,10-11-2020,0.0,0.0,0.0,0.0,0.0,0.0
193,09-11-2020,0.0,0.0,0.0,0.0,0.0,0.0
194,08-11-2020,0.0,0.0,0.0,0.0,0.0,0.0
195,07-11-2020,0.0,0.0,0.0,0.0,0.0,0.0
196,06-11-2020,0.0,0.0,0.0,0.0,0.0,0.0
197,05-11-2020,0.0,0.0,0.0,0.0,0.0,0.0
198,04-11-2020,0.0,0.0,0.0,0.0,0.0,0.0
199,03-11-2020,0.0,0.0,0.0,0.0,0.0,0.0
200,02-11-2020,0.0,0.0,0.0,0.0,0.0,0.0
201,01-11-2020,0.0,0.0,0.0,0.0,0.0,0.0
202,31-10-2020,0.0,0.0,0.0,0.0,0.0,0.0
203,30-10-2020,0.0,0.0,0.0,0.0,0.0,0.0
204,29-10-2020,0.0,0.0,0.0,0.0,0.0,0.0
205,28-10-2020,0.0,0.0,0.0,0.0,0.0,0.0
206,27-10-2020,0.0,0.0,0.0,0.0,0.0,0.0
207,26-10-2020,0.0,0.0,0.0,0.0,0.0,0.0
208,25-10-2020,0.0,0.0,0.0,0.0,0.0,0.0
209,24-10-2020,0.0,0.0,0.0,0.0,0.0,0.0
210,23-10-2020,0.0,0.0,0.0,0.0,0.0,0.0
211,22-10-2020,0.0,0.0,0.0,0.0,0.0,0.0
212,21-10-2020,0.0,0.0,0.0,0.0,0.0,0.0
213,20-10-2020,0.0,0.0,0.0,0.0,0.0,0.0
214,19-10-2020,0.0,0.0,0.0,0.0,0.0,0.0
215,18-10-2020,0.0,0.0,0.0,0.0,0.0,0.0
216,17-10-2020,0.0,0.0,0.0,0.0,0.0,0.0
217,16-10-2020,0.0,0.0,0.0,0.0,0.0,0.0
218,15-10-2020,0.0,0.0,0.0,0.0,0.0,0.0
219,14-10-2020,0.0,0.0,0.0,0.0,0.0,0.0
220,13-10-2020,0.0,0.0,0.0,0.0,0.0,0.0
221,12-10-2020,0.0,0.0,0.0,0.0,0.0,0.0
222,11-10-2020,0.0,0.0,0.0,0.0,0.0,0.0
223,10-10-2020,0.0,0.0,0.0,0.0,0.0,0.0
224,09-10-2020,0.0,0.0,0.0,0.0,0.0,0.0
225,08-10-2020,0.0,0.0,0.0,0.0,0.0,0.0
226,07-10-2020,0.0,0.0,0.0,0.0,0.0,0.0
227,06-10-2020,0.0,0.0,0.0,0.0,0.0,0.0
228,05-10-2020,0.0,0.0,0.0,0.0,0.0,0.0
229,04-10-2020,0.0,0.0,0.0,0.0,0.0,0.0
230,03-10-2020,0.0,0.0,0.0,0.0,0.0,0.0
231,02-10-2020,0.0,0.0,0.0,0.0,0.0,0.0
232,01-10-2020,0.0,0.0,0.0,0.0,0.0,0.0
233,30-09-2020,0.0,0.0,0.0,0.0,0.0,0.0
234,29-09-2020,0.0,0.0,0.0,0.0,0.0,0.0
235,28-09-2020,0.0,0.0,0.0,0.0,0.0,0.0
236,27-09-2020,0.0,0.0,0.0,0.0,0.0,0.0
237,26-09-2020,0.0,0.0,0.0,0.0,0.0,0.0
238,25-09-2020,0.0,0.0,0.0,0.0,0.0,0.0
239,24-09-2020,0.0,0.0,0.0,0.0,0.0,0.0
240,23-09-2020,0.0,0.0,0.0,0.0,0.0,0.0
241,22-09-2020,0.0,0.0,0.0,0.0,0.0,0.0
242,21-09-2020,0.0,0.0,0.0,0.0,0.0,0.0
243,20-09-2020,0.0,0.0,0.0,0.0,0.0,0.0
244,19-09-2020,0.0,0.0,0.0,0.0,0.0,0.0
245,18-09-2020,0.0,0.0,0.0,0.0,0.0,0.0
246,17-09-2020,0.0,0.0,0.0,0.0,0.0,0.0
247,16-09-2020,0.0,0.0,0.0,0.0,0.0,0.0
248,15-09-2020,0.0,0.0,0.0,0.0,0.0,0.0
249,14-09-2020,0.0,0.0,0.0,0.0,0.0,0.0
250,13-09-2020,0.0,0.0,0.0,0.0,0.0,0.0
251,12-09-2020,0.0,0.0,0.0,0.0,0.0,0.0
252,11-09-2020,0.0,0.0,0.0,0.0,0.0,0.0
253,10-09-2020,0.0,0.0,0.0,0.0,0.0,0.0
254,09-09-2020,0.0,0.0,0.0,0.0,0.0,0.0
255,08-09-2020,0.0,0.0,0.0,0.0,0.0,0.0
256,07-09-2020,0.0,0.0,0.0,0.0,0.0,0.0
257,06-09-2020,0.0,0.0,0.0,0.0,0.0,0.0
258,05-09-2020,0.0,0.0,0.0,0.0,0.0,0.0
259,04-09-2020,0.0,0.0,0.0,0.0,0.0,0.0
260,03-09-2020,0.0,0.0,0.0,0.0,0.0,0.0
261,02-09-2020,0.0,0.0,0.0,0.0,0.0,0.0
262,01-09-2020,0.0,0.0,0.0,0.0,0.0,0.0
263,31-08-2020,0.0,0.0,0.0,0.0,0.0,0.0
264,30-08-2020,0.0,0.0,0.0,0.0,0.0,0.0
265,29-08-2020,0.0,0.0,0.0,0.0,0.0,0.0
266,28-08-2020,0.0,0.0,0.0,0.0,0.0,0.0
267,27-08-2020,0.0,0.0,0.0,0.0,0.0,0.0
268,26-08-2020,0.0,0.0,0.0,0.0,0.0,0.0
269,25-08-2020,0.0,0.0,0.0,0.0,0.0,0.0
270,24-08-2020,0.0,0.0,0.0,0.0,0.0,0.0
271,23-08-2020,0.0,0.0,0.0,0.0,0.0,0.0
272,22-08-2020,0.0,0.0,0.0,0.0,0.0,0.0
273,21-08-2020,0.0,0.0,0.0,0.0,0.0,0.0
274,20-08-2020,0.0,0.0,0.0,0.0,0.0,0.0
275,19-08-2020,0.0,0.0,0.0,0.0,0.0,0.0
276,18-08-2020,0.0,0.0,0.0,0.0,0.0,0.0
277,17-08-2020,0.0,0.0,0.0,0.0,0.0,0.0
278,16-08-2020,0.0,0.0,0.0,0.0,0.0,0.0
279,15-08-2020,0.0,0.0,0.0,0.0,0.0,0.0
280,14-08-2020,0.0,0.0,0.0,0.0,0.0,0.0
281,13-08-2020,0.0,0.0,0.0,0.0,0.0,0.0
282,12-08-2020,0.0,0.0,0.0,0.0,0.0,0.0
283,11-08-2020,0.0,0.0,0.0,0.0,0.0,0.0
284,10-08-2020,0.0,0.0,0.0,0.0,0.0,0.0
285,09-08-2020,0.0,0.0,0.0,0.0,0.0,0.0
286,08-08-2020,0.0,0.0,0.0,0.0,0.0,0.0
287,07-08-2020,0.0,0.0,0.0,0.0,0.0,0.0
288,06-08-2020,0.0,0.0,0.0,0.0,0.0,0.0
289,05-08-2020,0.0,0.0,0.0,0.0,0.0,0.0
290,04-08-2020,0.0,0.0,0.0,0.0,0.0,0.0
291,03-08-2020,0.0,0.0,0.0,0.0,0.0,0.0
292,02-08-2020,0.0,0.0,0.0,0.0,0.0,0.0
293,01-08-2020,0.0,0.0,0.0,0.0,0.0,0.0
294,31-07-2020,0.0,0.0,0.0,0.0,0.0,0.0
295,30-07-2020,0.0,0.0,0.0,0.0,0.0,0.0
296,29-07-2020,0.0,0.0,0.0,0.0,0.0,0.0
297,28-07-2020,0.0,0.0,0.0,0.0,0.0,0.0
298,27-07-2020,0.0,0.0,0.0,0.0,0.0,0.0
299,26-07-2020,0.0,0.0,0.0,0.0,0.0,0.0
300,25-07-2020,0.0,0.0,0.0,0.0,0.0,0.0
301,24-07-2020,0.0,0.0,0.0,0.0,0.0,0.0
302,23-07-2020,0.0,0.0,0.0,0.0,0.0,0.0
303,22-07-2020,0.0,0.0,0.0,0.0,0.0,0.0
304,21-07-2020,0.0,0.0,0.0,0.0,0.0,0.0
305,20-07-2020,0.0,0.0,0.0,0.0,0.0,0.0
306,19-07-2020,0.0,0.0,0.0,0.0,0.0,0.0
307,18-07-2020,0.0,0.0,0.0,0.0,0.0,0.0
308,17-07-2020,0.0,0.0,0.0,0.0,0.0,0.0
309,16-07-2020,0.0,0.0,0.0,0.0,0.0,0.0
310,15-07-2020,0.0,0.0,0.0,0.0,0.0,0.0
311,14-07-2020,0.0,0.0,0.0,0.0,0.0,0.0
312,13-07-2020,0.0,0.0,0.0,0.0,0.0,0.0
313,12-07-2020,0.0,0.0,0.0,0.0,0.0,0.0
314,11-07-2020,0.0,0.0,0.0,0.0,0.0,0.0
315,10-07-2020,0.0,0.0,0.0,0.0,0.0,0.0
316,09-07-2020,0.0,0.0,0.0,0.0,0.0,0.0
317,08-07-2020,0.0,0.0,0.0,0.0,0.0,0.0
318,07-07-2020,0.0,0.0,0.0,0.0,0.0,0.0
319,06-07-2020,0.0,0.0,0.0,0.0,0.0,0.0
320,05-07-2020,0.0,0.0,0.0,0.0,0.0,0.0
321,04-07-2020,0.0,0.0,0.0,0.0,0.0,0.0
322,03-07-2020,0.0,0.0,0.0,0.0,0.0,0.0
323,02-07-2020,0.0,0.0,0.0,0.0,0.0,0.0
324,01-07-2020,0.0,0.0,0.0,0.0,0.0,0.0
325,30-06-2020,0.0,0.0,0.0,0.0,0.0,0.0
326,29-06-2020,0.0,0.0,0.0,0.0,0.0,0.0
327,28-06-2020,0.0,0.0,0.0,0.0,0.0,0.0
328,27-06-2020,0.0,0.0,0.0,0.0,0.0,0.0
329,26-06-2020,0.0,0.0,0.0,0.0,0.0,0.0
330,25-06-2020,0.0,0.0,0.0,0.0,0.0,0.0
331,24-06-2020,0.0,0.0,0.0,0.0,0.0,0.0
332,23-06-2020,0.0,0.0,0.0,0.0,0.0,0.0
333,22-06-2020,0.0,0.0,0.0,0.0,0.0,0.0
334,21-06-2020,0.0,0.0,0.0,0.0,0.0,0.0
335,20-06-2020,0.0,0.0,0.0,0.0,0.0,0.0
336,19-06-2020,0.0,0.0,0.0,0.0,0.0,0.0
337,18-06-2020,0.0,0.0,0.0,0.0,0.0,0.0
338,17-06-2020,0.0,0.0,0.0,0.0,0.0,0.0
339,16-06-2020,0.0,0.0,0.0,0.0,0.0,0.0
340,15-06-2020,0.0,0.0,0.0,0.0,0.0,0.0
341,14-06-2020,0.0,0.0,0.0,0.0,0.0,0.0
342,13-06-2020,0.0,0.0,0.0,0.0,0.0,0.0
343,12-06-2020,0.0,0.0,0.0,0.0,0.0,0.0
344,11-06-2020,0.0,0.0,0.0,0.0,0.0,0.0
345,10-06-2020,0.0,0.0,0.0,0.0,0.0,0.0
346,09-06-2020,0.0,0.0,0.0,0.0,0.0,0.0
347,08-06-2020,0.0,0.0,0.0,0.0,0.0,0.0
348,07-06-2020,0.0,0.0,0.0,0.0,0.0,0.0
349,06-06-2020,0.0,0.0,0.0,0.0,0.0,0.0
350,05-06-2020,0.0,0.0,0.0,0.0,0.0,0.0
351,04-06-2020,0.0,0.0,0.0,0.0,0.0,0.0
352,03-06-2020,0.0,0.0,0.0,0.0,0.0,0.0
353,02-06-2020,0.0,0.0,0.0,0.0,0.0,0.0
354,01-06-2020,0.0,0.0,0.0,0.0,0.0,0.0
355,31-05-2020,0.0,0.0,0.0,0.0,0.0,0.0
356,30-05-2020,0.0,0.0,0.0,0.0,0.0,0.0
357,29-05-2020,0.0,0.0,0.0,0.0,0.0,0.0
358,28-05-2020,0.0,0.0,0.0,0.0,0.0,0.0
359,27-05-2020,0.0,0.0,0.0,0.0,0.0,0.0
360,26-05-2020,0.0,0.0,0.0,0.0,0.0,0.0
361,25-05-2020,0.0,0.0,0.0,0.0,0.0,0.0
362,24-05-2020,0.0,0.0,0.0,0.0,0.0,0.0
363,23-05-2020,0.0,0.0,0.0,0.0,0.0,0.0
364,22-05-2020,0.0,0.0,0.0,0.0,0.0,0.0
365,21-05-2020,0.0,0.0,0.0,0.0,0.0,0.0
366,20-05-2020,0.0,0.0,0.0,0.0,0.0,0.0
367,19-05-2020,0.0,0.0,0.0,0.0,0.0,0.0
368,18-05-2020,0.0,0.0,0.0,0.0,0.0,0.0
369,17-05-2020,0.0,0.0,0.0,0.0,0.0,0.0
370,16-05-2020,0.0,0.0,0.0,0.0,0.0,0.0
371,15-05-2020,0.0,0.0,0.0,0.0,0.0,0.0
372,14-05-2020,0.0,0.0,0.0,0.0,0.0,0.0
373,13-05-2020,0.0,0.0,0.0,0.0,0.0,0.0
374,12-05-2020,0.0,0.0,0.0,0.0,0.0,0.0
375,11-05-2020,0.0,0.0,0.0,0.0,0.0,0.0
376,10-05-2020,0.0,0.0,0.0,0.0,0.0,0.0
377,09-05-2020,0.0,0.0,0.0,0.0,0.0,0.0
378,08-05-2020,0.0,0.0,0.0,0.0,0.0,0.0
379,07-05-2020,0.0,0.0,0.0,0.0,0.0,0.0
380,06-05-2020,0.0,0.0,0.0,0.0,0.0,0.0
381,05-05-2020,0.0,0.0,0.0,0.0,0.0,0.0
382,04-05-2020,0.0,0.0,0.0,0.0,0.0,0.0
383,03-05-2020,0.0,0.0,0.0,0.0,0.0,0.0
384,02-05-2020,0.0,0.0,0.0,0.0,0.0,0.0
385,01-05-2020,0.0,0.0,0.0,0.0,0.0,0.0
386,30-04-2020,0.0,0.0,0.0,0.0,0.0,0.0
387,29-04-2020,0.0,0.0,0.0,0.0,0.0,0.0
388,28-04-2020,0.0,0.0,0.0,0.0,0.0,0.0
389,27-04-2020,0.0,0.0,0.0,0.0,0.0,0.0
390,26-04-2020,0.0,0.0,0.0,0.0,0.0,0.0
391,25-04-2020,0.0,0.0,0.0,0.0,0.0,0.0
392,24-04-2020,0.0,0.0,0.0,0.0,0.0,0.0
393,23-04-2020,0.0,0.0,0.0,0.0,0.0,0.0
394,22-04-2020,0.0,0.0,0.0,0.0,0.0,0.0
395,21-04-2020,0.0,0.0,0.0,0.0,0.0,0.0
396,20-04-2020,0.0,0.0,0.0,0.0,0.0,0.0
397,19-04-2020,0.0,0.0,0.0,0.0,0.0,0.0
398,18-04-2020,0.0,0.0,0.0,0.0,0.0,0.0
399,17-04-2020,0.0,0.0,0.0,0.0,0.0,0.0
400,16-04-2020,0.0,0.0,0.0,0.0,0.0,0.0
401,15-04-2020,0.0,0.0,0.0,0.0,0.0,0.0
402,14-04-2020,0.0,0.0,0.0,0.0,0.0,0.0
403,13-04-2020,0.0,0.0,0.0,0.0,0.0,0.0
404,12-04-2020,0.0,0.0,0.0,0.0,0.0,0.0
405,11-04-2020,0.0,0.0,0.0,0.0,0.0,0.0
406,10-04-2020,0.0,0.0,0.0,0.0,0.0,0.0
407,09-04-2020,0.0,0.0,0.0,0.0,0.0,0.0
408,08-04-2020,0.0,0.0,0.0,0.0,0.0,0.0
409,07-04-2020,0.0,0.0,0.0,0.0,0.0,0.0
410,06-04-2020,0.0,0.0,0.0,0.0,0.0,0.0
411,05-04-2020,0.0,0.0,0.0,0.0,0.0,0.0
412,04-04-2020,0.0,0.0,0.0,0.0,0.0,0.0
413,03-04-2020,0.0,0.0,0.0,0.0,0.0,0.0
414,02-04-2020,0.0,0.0,0.0,0.0,0.0,0.0
415,01-04-2020,0.0,0.0,0.0,0.0,0.0,0.0
416,31-03-2020,0.0,0.0,0.0,0.0,0.0,0.0
